epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,170.401,1.54392,1.45333,1.67582,0.70614,0.62872,0.69214,0.37023,1.67439,1.32446,1.76635,0.000616738,0.000616738,0.000616738
17,321.651,1.51273,1.37952,1.6373,0.70705,0.65566,0.70478,0.38791,1.63924,1.29234,1.74087,0.000606587,0.000606587,0.000606587
18,472.462,1.50509,1.33143,1.61569,0.69543,0.68197,0.7168,0.38987,1.60782,1.22614,1.70831,0.000596436,0.000596436,0.000596436
19,176.562,1.48124,1.34055,1.62575,0.70869,0.64348,0.70128,0.38597,1.6048,1.26583,1.71086,0.000586286,0.000586286,0.000586286
20,327.491,1.46112,1.27937,1.59756,0.71574,0.67587,0.72347,0.38771,1.63044,1.16732,1.70919,0.000576135,0.000576135,0.000576135
21,478.399,1.44452,1.22734,1.57495,0.70951,0.68765,0.71824,0.3878,1.61436,1.16635,1.71613,0.000565984,0.000565984,0.000565984
22,629.077,1.48324,1.29832,1.61475,0.67519,0.64748,0.68169,0.37511,1.63834,1.31038,1.76127,0.000555833,0.000555833,0.000555833
23,791.748,1.48497,1.28213,1.60318,0.70276,0.64409,0.69848,0.37258,1.65828,1.24889,1.75851,0.000545682,0.000545682,0.000545682
24,942.896,1.45196,1.25103,1.58832,0.7131,0.66209,0.71165,0.3907,1.61467,1.21311,1.70878,0.000535532,0.000535532,0.000535532
25,1094.43,1.45616,1.2348,1.58965,0.73991,0.69362,0.74318,0.40534,1.59679,1.12898,1.69059,0.000525381,0.000525381,0.000525381
26,1245.83,1.43443,1.21886,1.57572,0.72854,0.6807,0.7369,0.40001,1.62032,1.16005,1.71633,0.00051523,0.00051523,0.00051523
27,1396.47,1.44871,1.20354,1.58395,0.74639,0.69773,0.75328,0.42054,1.55498,1.1199,1.66555,0.000505079,0.000505079,0.000505079
28,1547.48,1.4183,1.17842,1.56699,0.75441,0.68557,0.75287,0.42856,1.52521,1.08769,1.64676,0.000494928,0.000494928,0.000494928
29,1697.89,1.42738,1.18015,1.56302,0.72995,0.69782,0.74703,0.4148,1.56314,1.10211,1.65485,0.000484778,0.000484778,0.000484778
30,1848.38,1.4144,1.15981,1.56266,0.75515,0.69967,0.7666,0.42397,1.56272,1.08163,1.674,0.000474627,0.000474627,0.000474627
31,2011.32,1.41061,1.15909,1.55626,0.7347,0.73031,0.76739,0.4268,1.57534,1.04721,1.67001,0.000464476,0.000464476,0.000464476
